a,0.12298365270109343
b,0.011259066796578976
c,0.040381076106961136
d,0.03182851575186749
e,0.10815199740175381
f,0.012125148857854281
g,0.019270325863375556
h,0.012666450146151347
i,0.11345675002706507
j,0.00010826025765941322
k,0.00010826025765941322
l,0.043304103063765295
m,0.029663310598679226
n,0.05597055320991664
o,0.09256252029879831
p,0.028797228537403918
q,0.0022734654108476776
r,0.07567392010392984
s,0.06160008660820613
t,0.07015264696329977
u,0.030962433690592185
v,0.030312872144635704
w,0.00010826025765941322
x,0.0006495615459564793
y,0.00010826025765941322
z,0.005521273140630075
